Date,Open,High,Low,Close,Adj Close,Volume,SMA,RSI,Bollinger MA,Bollinger Up,Bollinger Down,MACD,MACDsig,MACDhist,new_indicator,sma_new_indicator,Prediction
4/13/2021,1924,1940.599976,1917.849976,1931.800049,1913.067627,8958261,2020.180005,32.69742959,2020.180005,2124.956104,1915.403906,-31.57064383,-19.3478372,-12.22280663,0.079421716,0.077969253,L
4/15/2021,1926.300049,1961,1913,1944.300049,1925.446411,9102492,2011.950012,30.37281648,2011.950012,2113.181939,1910.718086,-32.76403614,-22.03107699,-10.73295916,0.082892494,0.079569134,L
4/16/2021,1936.599976,1949.900024,1926.449951,1932.099976,1913.364624,7225679,2003.525006,32.89786018,2003.525006,2101.692549,1905.357464,-34.29887599,-24.48463679,-9.8142392,0.085032762,0.081204113,L
4/19/2021,1904,1916.400024,1890,1901.699951,1883.259399,8527967,1995.842499,35.58696464,1995.842499,2100.750678,1890.93432,-37.53558867,-27.09482716,-10.44076151,0.083573203,0.082105503,L
4/20/2021,1910.5,1919,1890.449951,1901.150024,1882.714844,7939490,1990.445001,34.85584484,1990.445001,2103.289042,1877.600961,-39.68758751,-29.61337923,-10.07420827,0.084427133,0.082985309,L
4/22/2021,1892.25,1914.449951,1876.699951,1906.400024,1887.91394,6687573,1981.665003,27.99855778,1981.665003,2091.808369,1871.521636,-40.50254286,-31.79121196,-8.711330902,0.087602118,0.08406369,L
4/23/2021,1906,1918.900024,1895.349976,1904.349976,1885.883667,5459016,1973.762506,30.64863078,1973.762506,2082.182175,1865.342838,-40.8430098,-33.60157153,-7.241438271,0.091026408,0.084958062,L
4/26/2021,1920,1962,1911.5,1937.849976,1919.058838,9620785,1966.280005,34.43867546,1966.280005,2061.501798,1871.058212,-37.97194532,-34.47564628,-3.496299034,0.099751157,0.086203377,L
4/27/2021,1940,1997.199951,1938.25,1988.650024,1969.366333,9226547,1963.347504,49.32236187,1963.347504,2051.406492,1875.288515,-31.23738162,-33.82799335,2.590611728,0.113931342,0.088754466,L
4/28/2021,1997.849976,2008,1980.150024,1997.300049,1977.932495,7902002,1963.640009,52.22755274,1963.640009,2052.129851,1875.150167,-24.91500202,-32.04539508,7.130393069,0.124507305,0.093216564,L
4/29/2021,2022.900024,2044.5,2007.300049,2024.050049,2004.423096,8035915,1965.11001,53.53334405,1965.11001,2056.691646,1873.528374,-17.54373592,-29.14506325,11.60132733,0.134922879,0.09876668,L
4/30/2021,2008.5,2036,1987.550049,1994.5,1975.159546,9150974,1963.370007,48.34123677,1963.370007,2051.056098,1875.683917,-13.92586769,-26.10122414,12.17535645,0.136260149,0.104103446,L
5/3/2021,1966,1979,1943.099976,1959.050049,1940.053467,10909942,1961.167511,46.60967177,1961.167511,2046.841571,1875.493451,-13.76057252,-23.63309381,9.872521298,0.13089542,0.108689711,L
5/4/2021,1950,1967.800049,1911,1916.599976,1898.015015,10083693,1955.905011,50.87690229,1955.905011,2038.768548,1873.041474,-16.86058272,-22.2785916,5.418008876,0.120518101,0.112384201,L
5/5/2021,1923.349976,1938.5,1908.050049,1920.099976,1901.480957,5719649,1952.280011,48.00748224,1952.280011,2034.726682,1869.83334,-18.81801997,-21.58647727,2.768457301,0.114345655,0.115376053,S
5/6/2021,1921.849976,1935,1906.599976,1931,1912.275269,6749281,1949.615009,47.72259624,1949.615009,2031.144359,1868.085658,-19.2676567,-21.12271316,1.855056457,0.112217778,0.117837619,S
5/7/2021,1937.75,1955.650024,1926,1931.75,1913.018066,5671163,1946.06001,49.93762684,1946.06001,2023.934203,1868.185817,-19.34053269,-20.76627706,1.42574437,0.111217645,0.119856743,S
5/10/2021,1939,1946.800049,1920.949951,1926.199951,1907.521973,6433879,1942.102509,54.7907668,1942.102509,2015.187517,1869.0175,-19.61996329,-20.53701431,0.917051019,0.110032583,0.120884886,S
5/11/2021,1915,1938.550049,1910,1933.150024,1914.404541,6220217,1939.657507,56.10453233,1939.657507,2010.348113,1868.966902,-19.06087929,-20.24178731,1.180908013,0.110647269,0.120556478,S
5/12/2021,1930.099976,1932.900024,1907,1913.150024,1894.598389,6081627,1939.757507,51.2190702,1939.757507,2010.283782,1869.231232,-20.00107412,-20.19364467,0.19257055,0.108344819,0.11894023,S
5/14/2021,1928.050049,1942,1906,1937.300049,1918.514282,6134079,1940.032507,55.51096137,1940.032507,2010.470975,1869.59404,-18.58326381,-19.8715685,1.28830469,0.110897462,0.116537688,S
5/17/2021,1937.300049,1963.449951,1930.400024,1960.349976,1941.340698,5479424,1940.835004,53.89947677,1940.835004,2011.841603,1869.828404,-15.42192806,-18.98164041,3.559712349,0.116188978,0.114530571,L
5/18/2021,1981,2002.599976,1972.5,1987.949951,1968.672974,5567958,1943.627502,49.86806021,1943.627502,2017.52182,1869.733185,-10.56764218,-17.29884076,6.73119858,0.123577333,0.113798762,L
5/19/2021,1980,2016.449951,1972,1997.050049,1977.684814,7530294,1948.395007,49.95296335,1948.395007,2023.197519,1873.592496,-5.918064038,-15.02268542,9.10462138,0.129106505,0.114657603,L
5/20/2021,1997.900024,2010.900024,1981,1985.400024,1966.147827,5271497,1952.607507,42.29004917,1952.607507,2025.676479,1879.538536,-3.137136557,-12.64557565,9.508439089,0.130047247,0.116227762,L
5/21/2021,1992,2009.599976,1986,2002.550049,1983.131714,4977555,1957.415009,51.68941043,1957.415009,2030.335281,1884.494736,0.445496786,-10.02736116,10.47285795,0.132293975,0.118235382,L
5/24/2021,2008,2009.800049,1982,1985.650024,1966.395508,3946636,1961.480011,56.05369512,1961.480011,2030.926428,1892.033594,1.899176223,-7.642053683,9.541229906,0.130123637,0.120125981,L
5/25/2021,1996.400024,1997,1960,1963.150024,1944.113647,6821015,1962.745013,61.65206275,1962.745013,2031.295,1894.195026,1.22158403,-5.86932614,7.09091017,0.124415324,0.121564255,L
5/26/2021,1975,1979.5,1965.300049,1970.050049,1950.946777,3452113,1961.815015,62.29387309,1961.815015,2029.382874,1894.247155,1.227215115,-4.450017889,5.677233004,0.121121995,0.122611728,S
5/27/2021,1970.300049,1993,1962.25,1976.099976,1956.93811,12377100,1960.755011,61.37164307,1960.755011,2026.622701,1894.887321,1.700256835,-3.219962944,4.92021978,0.119358442,0.12371309,S
5/28/2021,1990,2105,1990,2094.800049,2074.486816,26060864,1964.292511,75.77864374,1964.292511,2049.293634,1879.291388,11.52044911,-0.271880533,11.79232965,0.135367842,0.126160128,L
5/31/2021,2102,2191.699951,2085.050049,2160.300049,2139.351807,27285782,1972.582513,81.11376592,1972.582513,2094.368898,1850.796129,24.30811601,4.644118776,19.66399723,0.153705831,0.129911813,L
6/1/2021,2166,2202,2146.5,2168.899902,2147.868408,12928379,1983.075006,81.19622757,1983.075006,2132.886943,1833.263069,34.73595594,10.66248621,24.07346973,0.163978224,0.133951902,L
6/2/2021,2157,2209.5,2157,2201.25,2179.904785,11366816,1997.307507,86.91695539,1997.307507,2172.468963,1822.146051,45.09069925,17.54812882,27.54257043,0.172059908,0.138247242,L
6/3/2021,2221,2250,2196.100098,2209.649902,2188.223389,11064116,2011.785004,86.36665605,2011.785004,2206.814624,1816.755383,53.35961341,24.71042573,28.64918767,0.174637905,0.142706308,L
6/4/2021,2214.800049,2216.449951,2184.25,2190.5,2169.258789,6677278,2024.760004,81.05519751,2024.760004,2231.346011,1818.173997,57.70239313,31.30881921,26.39357392,0.169383183,0.146415229,L
6/7/2021,2202,2242,2185,2227.399902,2205.801025,7539326,2039.542499,81.51902625,2039.542499,2259.95411,1819.130888,63.39086068,37.72522751,25.66563317,0.167687358,0.150171601,L
6/8/2021,2226.600098,2227.149902,2198.149902,2214.600098,2193.125488,4464889,2053.962506,78.36009621,2053.962506,2280.794681,1827.130331,66.10416728,43.40101546,22.70315182,0.160785905,0.153808659,L
6/9/2021,2219,2221,2157.949951,2175,2153.90918,5265326,2066.055005,73.03768465,2066.055005,2291.551331,1840.558678,64.31767129,47.58434663,16.73332466,0.14687848,0.156384308,S
6/10/2021,2193.399902,2230,2177.550049,2183,2161.831787,6532832,2079.547504,72.42452173,2079.547504,2298.725905,1860.369102,62.82320666,50.63211863,12.19108802,0.136296797,0.158078143,S
6/11/2021,2182.899902,2228,2180.100098,2213.149902,2198.739746,6351520,2093.339996,77.37008655,2093.339996,2309.525429,1877.154564,63.34151622,53.17399815,10.16751807,0.13158265,0.157699624,S
6/14/2021,2215,2258.25,2195.050049,2244.899902,2230.282959,9383416,2107.567493,83.15878767,2107.567493,2324.353731,1890.781254,65.5585221,55.65090294,9.907619161,0.130977184,0.155426759,S
6/15/2021,2261,2274.899902,2240.300049,2250,2235.349854,7002898,2120.669995,83.08713424,2120.669995,2338.68856,1902.65143,66.95523228,57.91176881,9.043463473,0.12896403,0.15192534,S
6/16/2021,2244.899902,2247.050049,2205.850098,2211.600098,2197.200195,4982975,2131.397498,75.85642984,2131.397498,2344.871152,1917.923843,64.22325825,59.1740667,5.049191552,0.119658897,0.146685239,S
6/17/2021,2200,2235,2179.899902,2215.649902,2201.223633,7266765,2142.909991,67.73295872,2142.909991,2347.897647,1937.922335,61.67399506,59.67405237,1.999942689,0.112555308,0.140476979,S
6/18/2021,2225.5,2235,2184.350098,2225.649902,2211.158447,13553801,2154.064984,61.4548679,2154.064984,2351.01596,1957.114008,59.77159233,59.69356036,0.078031968,0.108077988,0.13434646,S
6/21/2021,2203.5,2247.5,2200.149902,2237.25,2222.682861,5624044,2166.644983,61.85606491,2166.644983,2349.972147,1983.317818,58.52531206,59.4599107,-0.934598644,0.105718944,0.128149618,S
6/22/2021,2254,2261,2219.350098,2225.75,2211.258057,5940386,2179.774982,54.58116191,2179.774982,2337.573855,2021.976108,55.9645476,58.76083808,-2.796290478,0.101381911,0.122209219,S
6/23/2021,2250,2250.600098,2201.699951,2205.350098,2190.990723,7685796,2191.539984,49.23052737,2191.539984,2314.809936,2068.270032,51.69313543,57.34729755,-5.654162117,0.094724158,0.116993787,S
6/24/2021,2206.850098,2214.600098,2140,2153.5,2139.478271,42209687,2200.409985,44.07240524,2200.409985,2273.87697,2126.943001,43.62130172,54.60209839,-10.98079666,0.082315127,0.11159562,S
6/25/2021,2153.5,2153.5,2081.100098,2104.449951,2090.747559,25546334,2200.89248,31.04085676,2200.89248,2271.510583,2130.274378,32.88728221,50.25913515,-17.37185294,0.067426398,0.105179994,S
6/28/2021,2122,2126.5,2081,2086,2072.417725,9357852,2197.177478,30.50922458,2197.177478,2282.973276,2111.38168,22.63086306,44.73348073,-22.10261767,0.056405517,0.097722828,S
6/29/2021,2089.5,2109,2084.100098,2087.800049,2074.206299,12526981,2193.122485,35.07360581,2193.122485,2291.315964,2094.929007,14.48089911,38.68296441,-24.2020653,0.051514604,0.089977885,S
6/30/2021,2096.25,2122.649902,2091.050049,2110.649902,2096.907227,9120556,2188.59248,38.2146657,2188.59248,2293.34739,2083.837571,9.753355517,32.89704263,-23.14368711,0.053980222,0.083410018,S
7/1/2021,2118,2123.149902,2095,2097.949951,2084.290039,5784627,2183.007483,30.10361857,2183.007483,2294.715153,2071.299813,4.925188745,27.30267185,-22.37748311,0.055765186,0.077731005,S
7/2/2021,2097,2132.899902,2092.949951,2129.050049,2115.1875,6500973,2179.934985,29.94635417,2179.934985,2294.127647,2065.742324,3.567228993,22.55558328,-18.98835429,0.063660566,0.073289263,S
7/5/2021,2136.449951,2153.550049,2131.5,2150.199951,2136.199707,5400604,2176.074988,33.63395191,2176.074988,2288.720768,2063.429207,4.149819899,18.8744306,-14.72461071,0.073593465,0.070076715,L
7/6/2021,2144.949951,2148.899902,2120.199951,2124.800049,2110.965332,4647361,2171.584985,35.13186862,2171.584985,2284.921767,2058.248203,2.532771362,15.60609876,-13.07332739,0.077440327,0.067682557,L
7/7/2021,2127.75,2127.75,2098,2110.050049,2096.311279,4824931,2168.337488,32.55123855,2168.337488,2284.937375,2051.7376,0.060351325,12.49694927,-12.43659794,0.078923664,0.066102507,L
7/8/2021,2116.949951,2116.949951,2081,2092.600098,2078.975098,5162088,2163.817493,28.5438013,2163.817493,2284.944952,2042.690034,-3.269436548,9.343672106,-12.61310865,0.078512461,0.065722241,L
7/9/2021,2088,2091.699951,2066.100098,2071.199951,2057.714111,4170886,2156.719995,24.04250034,2156.719995,2282.232145,2031.207845,-7.548120409,5.965313603,-13.51343401,0.076415046,0.066621106,L
7/12/2021,2079.75,2101.5,2074.5,2084.100098,2070.530273,3962111,2148.680005,27.95332265,2148.680005,2270.968102,2026.391908,-9.785275577,2.815195767,-12.60047134,0.078541901,0.068834744,L
7/13/2021,2100,2103.050049,2088.050049,2099.699951,2086.02832,3099956,2141.165002,33.30697371,2141.165002,2255.447292,2026.882713,-10.18208664,0.215739285,-10.39782593,0.083673227,0.072050606,L
7/14/2021,2100.350098,2106.850098,2081.25,2086,2072.417725,3937768,2134.884998,37.8727906,2134.884998,2246.646401,2023.123594,-11.46981692,-2.121371955,-9.34844496,0.086117885,0.075264373,L
7/15/2021,2095,2095,2078.5,2082.350098,2068.791748,4360415,2128.220007,45.25549902,2128.220007,2235.510962,2020.929053,-12.63917251,-4.224932066,-8.414240442,0.088294226,0.078517277,L
